No.,Year,Paper_Title,Platform,APT_Stage_Focus,Classification_Framework,Stage_Codes,Inclusion_Reason
52,2023,Classifying OT/ICS-Targeted APT Attacks: A Taxonomy Based on Purdue Model Deviations,Scopus,T14 (ICS/OT),"Purdue Model + ATT&CK for ICS",TA0040,Automated taxonomy of APT attacks on OT/ICS infrastructure
53,2023,Steganographic C2 Detection in APT Campaigns via Deep Learning-Based Image Entropy Analysis,IEEE,T12,"CNN + LSB Entropy Model",TA0011,DL-based automated detection of APT steganographic C2
54,2023,Characterizing APT Privilege Escalation Through Exploit Chain Sequencing and CVE Correlation,ACM,T6,"CVE-to-Exploit Chain + ATT&CK v13",TA0004,Automated APT privilege escalation classification via CVE chains
55,2023,APTNER: Named Entity Recognition for APT Reports Using Domain-Adapted Transformer Models,Springer,T3-T13,"BERT-NER + STIX 2.1","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",NER-based automated APT TTP extraction across lifecycle stages
56,2023,Threat Actor Attribution Through Compositional TTP Fingerprinting: A Bayesian Inference Approach,IEEE,T1-T13,"Bayesian Network + ATT&CK v13","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Bayesian automated APT threat actor attribution via TTP profiles
57,2024,LLM-Driven Automated APT Campaign Reconstruction from Unstructured Threat Intelligence,IEEE,T1-T13,"GPT-4 + Knowledge Graph","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",LLM-based automated APT campaign reconstruction
58,2024,APTSHIELD: A Real-Time APT Detection and Classification System Using Provenance Graph Analysis,ACM,"T4, T7, T10","Provenance Graph + GNN","TA0002,TA0005,TA0008",Real-time APT detection system using provenance graph classification
59,2024,Automated Detection of APT Persistence via Firmware and UEFI Implant Behavioral Signatures,IEEE,T5,"UEFI Integrity + Behavioral Hashing",TA0003,Automated firmware-level APT persistence detection
60,2024,Classifying Nation-State Cyber Campaigns by Geopolitical Victimology: A Machine Learning Approach,Springer,"T1, T3","Geospatial ML + Diamond Model","TA0043,TA0001",ML-based APT campaign classification via geopolitical signals
61,2024,Towards a Universal APT Classification Schema: Reconciling MITRE ATT&CK Kill Chain and Diamond Model,Scopus,T1-T14,"Unified Ontology (ATT&CK + Kill Chain + Diamond)","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Universal APT classification framework across three major models
62,2024,Automated Credential Theft Detection in APT Campaigns via LSASS Access Pattern Analysis,IEEE,T8,"Memory Forensics + Behavioral Threshold",TA0006,Automated APT credential theft detection via LSASS monitoring
63,2024,Temporal Graph Networks for APT Campaign Sequencing and Stage Prediction,ACM,T1-T13,"Temporal GNN + Markov Chain","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Temporal GNN for sequential APT lifecycle stage prediction
64,2024,Detecting Domain Generation Algorithms in APT Resource Development Using Bi-Directional LSTM,Springer,T2,"Bi-LSTM + DGA Feature Set",TA0042,Bi-LSTM automated detection of APT DGA in resource development
65,2024,APT-BERT: A Domain-Adapted Language Model for APT TTP Classification from Threat Reports,IEEE,T3-T13,"APT-BERT + ATT&CK v14","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Domain-adapted BERT for automated APT TTP classification
66,2024,Automated MITRE ATT&CK Technique Coverage Analysis for Enterprise Security Posture Assessment,Scopus,T3-T13,"ATT&CK v14 + Coverage Scoring","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Automated ATT&CK coverage analysis for APT defense mapping
67,2024,Cross-Platform APT Malware Family Classification Using Graph-Based Code Similarity Analysis,IEEE,"T4, T7","Control Flow Graph + GNN","TA0002,TA0005",Graph-based automated APT malware family classification
68,2024,A Zero-Trust Architecture for APT Lateral Movement Prevention: Classification and Mitigation,ACM,T10,"Zero-Trust + ATT&CK v14",TA0008,Zero-trust framework for APT lateral movement classification
69,2024,Hunting APT Collection Activities via File Access Telemetry and Staging Directory Profiling,Springer,T11,"File System Telemetry + RF",TA0009,Automated detection of APT data collection activities
70,2024,Automated Threat Intelligence Sharing for APT Detection: A STIX/TAXII-Based Federation Framework,IEEE,T1-T13,"STIX 2.1 + TAXII 2.1","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",STIX/TAXII-based automated APT threat intelligence federation
71,2025,ProvAPT: Automated APT Detection Through Operating System Provenance Graph Mining,IEEE,"T4, T7, T10","OS Provenance Graph + GNN","TA0002,TA0005,TA0008",OS provenance graph mining for automated APT stage detection
72,2025,Generative AI-Augmented APT Spearphishing Classification: Capabilities and Detection Countermeasures,ACM,T3,"LLM Threat Modeling + NLP Classifier",TA0001,LLM-based classification of AI-generated APT spearphishing
73,2025,An Automated Framework for Reconstructing APT Kill Chains from Heterogeneous Log Sources,Springer,T3-T13,"Multi-Source Log Fusion + ATT&CK v15","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Multi-source log fusion for automated APT kill chain reconstruction
74,2025,Detecting APT Credential Harvesting via Active Directory Anomaly Scoring and Graph Analysis,IEEE,"T8, T9","AD Graph + Isolation Forest","TA0006,TA0007",Automated APT credential harvesting detection via AD graph analysis
75,2025,Classifying APT Command and Control Channels in Encrypted Traffic Using Federated Learning,Scopus,T12,"Federated CNN + TLS Feature Extraction",TA0011,Federated learning for automated encrypted APT C2 classification
76,2025,APT Campaign Attribution Using Compositional TTP Embeddings and Siamese Neural Networks,IEEE,T1-T13,"Siamese Network + TTP Embedding","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Siamese network for automated APT campaign attribution
77,2025,Automated Wiper Malware Classification in Destructive APT Campaigns: A File System Entropy Approach,ACM,T14,"Entropy Analysis + RF",TA0040,Automated classification of APT-deployed wiper malware
78,2025,ThreatSieve: A Multi-Stage APT Detection Pipeline Combining NLP Graph Analysis and Anomaly Detection,Springer,T3-T13,"NLP + GNN + Anomaly Detection","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Multi-stage automated APT detection and classification pipeline
79,2025,Automated Identification of APT Watering Hole Infrastructure via Browser Exploit Kit Fingerprinting,IEEE,T3,"JS Deobfuscation + SVM",TA0001,Automated APT watering hole initial access detection
80,2025,Characterizing the Convergence of APT and Ransomware: A Unified Taxonomic Framework,Scopus,"T7, T14","Unified Kill Chain + Diamond Model","TA0005,TA0040",Automated unified taxonomy of APT-ransomware converged attacks
81,2025,A Longitudinal Study of APT TTP Evolution Using MITRE ATT&CK Version Differential Analysis,ACM,T1-T14,"ATT&CK Versioning + Temporal Analysis","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Longitudinal automated analysis of APT TTP evolution 2020-2025
82,2025,Automated Mapping of Cyber Threat Intelligence to APT Groups Using Knowledge Graph Embeddings,Springer,T1-T13,"TransE/RotatE + MITRE ATT&CK v15","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",KG embedding-based automated APT group attribution
83,2025,Low-and-Slow Exfiltration Detection in APT Campaigns Using Temporal Clustering and Flow Analysis,IEEE,T13,"DBSCAN + NetFlow Time-Series",TA0010,Automated detection of APT low-and-slow exfiltration patterns
84,2025,APTONTOLOGY: A Formal OWL-Based Ontology for Automated APT Attack Classification,ACM,T1-T14,"OWL2 Ontology + SPARQL Reasoning","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Formal OWL ontology for automated APT attack classification
85,2026,Automated APT Taxonomy Generation Using Large Language Models and ATT&CK v15 Alignment,IEEE,T1-T14,"GPT-4o + ATT&CK v15","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",LLM-driven automated full-lifecycle APT taxonomy generation
86,2026,Real-Time APT TTP Classification Using Streaming Provenance Graph Analysis,ACM,"T4, T7, T10","Streaming GNN + Apache Kafka","TA0002,TA0005,TA0008",Real-time streaming APT TTP classification system
87,2026,Detecting APT Initial Access via Generative AI-Assisted Spearphishing: A Detection Arms Race Study,IEEE,T3,"LLM-based Detection + BERT",TA0001,Automated detection of AI-assisted APT spearphishing campaigns
88,2026,Automated APT Campaign Deduplication and Merging Using Cross-Source IOC Graph Reconciliation,Springer,T1-T13,"Graph Reconciliation + STIX 2.1","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Cross-source IOC graph reconciliation for APT deduplication
89,2026,A Multimodal Framework for APT Threat Actor Attribution Using TTP Victimology and Infrastructure Signals,Scopus,T1-T14,"Multimodal Fusion + Bayesian Network","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Multimodal automated APT threat actor attribution framework
90,2026,Classifying APT Persistence Mechanisms at Firmware Level: A UEFI Behavioral Taxonomy,IEEE,T5,"UEFI Telemetry + ATT&CK v15",TA0003,UEFI-level automated APT persistence mechanism taxonomy
91,2026,LLM-Augmented Threat Hunting: Automated APT Detection Through Natural Language Security Policy Encoding,ACM,"T4, T7","LLM Reasoning + SIGMA Rules","TA0002,TA0005",LLM-augmented automated APT detection via security policy encoding
92,2026,APT Lateral Movement Prediction Using Temporal Knowledge Graph Reasoning,IEEE,T10,"Temporal KG + ATT&CK v15",TA0008,Temporal knowledge graph for APT lateral movement prediction
93,2026,Automated Classification of APT-Sponsored DGA Families Using Transformer-Based Sequence Modeling,Springer,"T2, T12","BERT-DGA + Bi-LSTM","TA0042,TA0011",Transformer-based automated classification of APT DGA families
94,2026,Towards Explainable APT Attribution: Interpretable Machine Learning for Threat Actor Classification,Scopus,T1-T13,"SHAP + XGBoost Explainability","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Explainable ML for automated APT threat actor attribution
95,2026,MITRE ATT&CK v15 Coverage Analysis: Gaps and Emerging APT Techniques in 2025-2026,IEEE,T1-T14,"ATT&CK v15 + Corpus Meta-Analysis","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Meta-analysis of ATT&CK v15 coverage gaps for APT classification
96,2026,Detecting Steganographic Command and Control in APT Campaigns via Multimodal Deep Learning,ACM,T12,"CNN + Steganalysis + Entropy",TA0011,Multimodal DL for automated APT steganographic C2 detection
97,2026,A Reinforcement Learning Framework for Adaptive APT Detection in Dynamic Network Environments,IEEE,"T10, T12, T13","Deep RL + ATT&CK v15","TA0008,TA0011,TA0010",Reinforcement learning for adaptive automated APT detection
98,2026,Zero-Day Exploit Classification in APT Initial Access Using Vulnerability Behavior Signatures,Springer,"T3, T6","Zero-Day Signature + CVE Mapping","TA0001,TA0004",Automated zero-day exploit classification in APT initial access
99,2026,APT Campaign Lifecycle Modeling Using Causal Discovery and Bayesian Structural Equation Models,Scopus,T1-T14,"Causal Discovery + SEM","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Causal automated modeling of full APT campaign lifecycle
100,2026,Automated APT Taxonomy Validation: A Cross-Framework Benchmark Against MITRE ATT&CK Unified Kill Chain and Diamond Model,IEEE,T1-T14,"ATT&CK v15 + UKC + Diamond Model","TA0043,TA0001,TA0002,TA0005,TA0008,TA0010,TA0011,TA0040",Cross-framework benchmark validation of automated APT taxonomy
